,alpha,train_acc,test_acc
0,0.05,0.9928962113127001,0.9765
1,0.1,0.997031750266809,0.9789
2,0.15,0.9988327107790822,0.9769
3,0.2,0.9987660085378869,0.9751
4,0.25,0.998949439701174,0.9777
5,0.3,0.998849386339381,0.9754
6,0.4,0.9984491728922091,0.9753
7,0.5,0.9976153948772679,0.9739
8,0.6,0.9972985592315902,0.9756
9,0.7,0.9944136872998933,0.9711
10,0.8,0.9932630736392742,0.9691
11,0.9,0.9921791622198506,0.9683
12,1.0,0.989844583778015,0.9696
13,1.5,0.9756370064034151,0.9579
14,2.0,0.9445370864461046,0.938
